date,priceUSD_troyounce
3/31/2006,557.1
4/28/2006,610.7
5/31/2006,675.4
6/30/2006,596.2
7/31/2006,633.7
8/31/2006,632.6
9/29/2006,598.2
10/31/2006,585.8
11/30/2006,627.8
12/29/2006,629.8
1/31/2007,631.2
2/28/2007,664.8
3/30/2007,654.9
4/30/2007,679.4
5/31/2007,666.9
6/29/2007,655.5
7/31/2007,665.3
8/31/2007,665.4
9/28/2007,712.7
10/31/2007,754.6
11/30/2007,806.3
12/31/2007,803.2
1/31/2008,889.6
2/29/2008,922.3
3/31/2008,968.4
4/30/2008,909.7
5/30/2008,888.7
6/30/2008,889.5
7/31/2008,939.8
8/29/2008,839.0
9/30/2008,829.9
10/31/2008,806.6
11/28/2008,760.9
12/31/2008,816.1
1/30/2009,858.7
2/27/2009,943.2
3/31/2009,924.3
4/30/2009,890.2
5/29/2009,928.6
6/30/2009,945.7
7/31/2009,934.2
8/31/2009,949.4
9/30/2009,996.6
10/30/2009,"1,043.2"
11/30/2009,"1,127.0"
12/31/2009,"1,134.7"
1/29/2010,"1,118.0"
2/26/2010,"1,095.4"
3/31/2010,"1,113.3"
4/30/2010,"1,148.7"
5/31/2010,"1,205.4"
6/30/2010,"1,232.9"
7/30/2010,"1,193.0"
8/31/2010,"1,215.8"
9/30/2010,"1,271.0"
10/29/2010,"1,342.0"
11/30/2010,"1,369.9"
12/31/2010,"1,390.6"
1/31/2011,"1,356.4"
2/28/2011,"1,372.7"
3/31/2011,"1,424.0"
4/29/2011,"1,473.8"
5/31/2011,"1,510.4"
6/30/2011,"1,528.7"
7/29/2011,"1,572.8"
8/31/2011,"1,755.8"
9/30/2011,"1,771.9"
10/31/2011,"1,665.2"
11/30/2011,"1,739.0"
12/30/2011,"1,652.3"
1/31/2012,"1,656.1"
2/29/2012,"1,742.6"
3/30/2012,"1,673.8"
4/30/2012,"1,650.1"
5/31/2012,"1,585.5"
6/29/2012,"1,596.7"
7/31/2012,"1,593.9"
8/31/2012,"1,626.0"
9/28/2012,"1,744.5"
10/31/2012,"1,747.0"
11/30/2012,"1,721.1"
12/31/2012,"1,688.5"
1/31/2013,"1,671.0"
2/28/2013,"1,627.6"
3/29/2013,"1,592.9"
4/30/2013,"1,485.1"
5/31/2013,"1,413.5"
6/28/2013,"1,342.4"
7/31/2013,"1,286.7"
8/30/2013,"1,347.1"
9/30/2013,"1,348.8"
10/31/2013,"1,316.2"
11/29/2013,"1,275.8"
12/31/2013,"1,225.4"
1/31/2014,"1,244.8"
2/28/2014,"1,301.0"
3/31/2014,"1,336.1"
4/30/2014,"1,299.0"
5/30/2014,"1,287.5"
6/30/2014,"1,279.1"
7/31/2014,"1,311.0"
8/29/2014,"1,296.0"
9/30/2014,"1,238.8"
10/31/2014,"1,222.5"
11/28/2014,"1,176.3"
12/31/2014,"1,202.3"
1/30/2015,"1,251.9"
2/27/2015,"1,227.2"
3/31/2015,"1,178.6"
4/30/2015,"1,197.9"
5/29/2015,"1,199.1"
6/30/2015,"1,181.5"
7/31/2015,"1,130.0"
8/31/2015,"1,117.5"
9/30/2015,"1,124.5"
10/30/2015,"1,159.3"
11/30/2015,"1,085.7"
12/31/2015,"1,068.3"
1/29/2016,"1,097.4"
2/29/2016,"1,199.9"
3/31/2016,"1,246.3"
4/29/2016,"1,242.3"
5/31/2016,"1,259.4"
6/30/2016,"1,276.4"
7/29/2016,"1,337.3"
8/31/2016,"1,341.1"
9/30/2016,"1,326.0"
10/31/2016,"1,266.6"
11/30/2016,"1,236.0"
12/30/2016,"1,151.4"
1/31/2017,"1,192.6"
2/28/2017,"1,234.4"
3/31/2017,"1,231.1"
4/28/2017,"1,265.6"
5/31/2017,"1,245.0"
6/30/2017,"1,260.3"
7/31/2017,"1,236.2"
8/31/2017,"1,282.3"
9/29/2017,"1,315.0"
10/31/2017,"1,279.5"
11/30/2017,"1,282.3"
12/29/2017,"1,261.3"
1/31/2018,"1,331.7"
2/28/2018,"1,331.5"
3/30/2018,"1,324.7"
4/30/2018,"1,334.7"
5/31/2018,"1,303.0"
6/29/2018,"1,281.6"
7/31/2018,"1,238.5"
8/31/2018,"1,201.3"
9/28/2018,"1,198.5"
10/31/2018,"1,215.4"
11/30/2018,"1,221.0"
12/31/2018,"1,247.9"
1/31/2019,"1,291.8"
2/28/2019,"1,320.1"
3/29/2019,"1,300.9"
4/30/2019,"1,286.5"
5/31/2019,"1,284.0"
6/28/2019,"1,359.0"
7/31/2019,"1,413.0"
8/30/2019,"1,498.8"
9/30/2019,"1,511.3"
10/31/2019,"1,494.8"
11/29/2019,"1,470.0"
12/31/2019,"1,476.0"
1/31/2020,"1,560.7"
2/28/2020,"1,597.1"
3/31/2020,"1,591.9"
4/30/2020,"1,682.9"
5/29/2020,"1,716.4"
6/30/2020,"1,732.2"
7/31/2020,"1,843.3"
8/31/2020,"1,968.6"
9/30/2020,"1,922.2"
10/30/2020,"1,900.3"
11/30/2020,"1,863.5"
12/31/2020,"1,856.0"
1/29/2021,"1,867.0"
2/26/2021,"1,808.2"
3/31/2021,"1,718.2"
4/30/2021,"1,761.7"
5/31/2021,"1,853.2"
6/30/2021,"1,834.6"
7/30/2021,"1,807.1"
8/31/2021,"1,784.0"
9/30/2021,"1,777.3"
10/29/2021,"1,776.9"
11/30/2021,"1,820.2"
12/31/2021,"1,786.7"
1/31/2022,"1,816.8"
2/28/2022,"1,856.3"
3/31/2022,"1,947.8"
4/29/2022,"1,933.9"
5/31/2022,"1,848.3"
6/30/2022,"1,833.8"
7/29/2022,"1,736.4"
8/31/2022,"1,765.7"
9/30/2022,"1,683.0"
10/31/2022,"1,664.5"
11/30/2022,"1,726.5"
12/30/2022,"1,796.7"
1/31/2023,"1,898.6"
2/28/2023,"1,854.5"
3/31/2023,"1,912.7"
4/28/2023,"2,000.4"
5/31/2023,"1,990.2"
6/30/2023,"1,942.9"
7/31/2023,"1,948.9"
8/31/2023,"1,920.0"
9/29/2023,"1,917.0"
10/31/2023,"1,913.0"
11/30/2023,"1,985.3"
12/29/2023,"2,029.3"
1/31/2024,"2,034.0"
2/29/2024,"2,023.2"
3/29/2024,"2,158.0"
4/30/2024,"2,335.5"
5/31/2024,"2,352.1"
6/28/2024,"2,326.3"
7/31/2024,"2,395.3"
8/30/2024,"2,468.0"
9/30/2024,"2,567.1"
10/31/2024,"2,690.1"
